classification,reason_for_recall,product_description,recall_number
Class III,Superpotent Drug: Out Of Specification (OOS) result for Assay.,"Health Mart Pharmacy loratadine orally disintegrating tablets, USP, 10 mg, 10-count tablets per box, Distributed by: McKesson, One Post Street, San Francisco, CA  94104, NDC 62011-0073-1, UPC 0 5256913369 9",D-0028-2016
Class III,Failed dissolution specifications - low dissolution  results at S3 stage.,"Zenatane (isotretinoin) capsules, 30 mg, packaged in 30-count  cartons (3 x 10 blister cards), Rx Only, Manufactured By:Cipla Limited Kurkumbh Village Pune 413802 India, Manufactured For: Dr. Reddy's Laboratories, Bachupally 500 090  India, NDC 5511-113-81",D-0508-2017
Class III,"Labeling: Incorrect or Missing Lot and/or Exp Date: Lot FG10517 is mislabeled on the primary container with Lot FG01517, shipper labels and invoices contain the correct lot number of FG10517.","Oxycodone and Acetaminophen Tablets, USP, 5 mg*/325 mg, 100-count bottle, Rx Only, Manufactured by: Mayne Pharma, Greenville, NC 27834, NDC 68308-841-01.",D-1129-2018
Class III,Labeling: Incorrect or Missing Exp Date - An incorrect expiration date has been identified on Prednisone Tablets USP 5 mg,"PrediniSONE Tablets, USP 5 mg, 48-count bottle,  Rx only, Distributed by: Par Pharmaceutical Chestnut Ridge, NY 10977,  NDC 0603-5337-31",D-1035-2020
Class III,Failed Content Uniformity Specifications,"Clobetasol Propionate Cream USP, 0.05% 60 g tube, Rx only  Mfd. by: Taro Pharmaceutical Industries Ltd., Haifa Bay, Israel 2624761  Dist. by : Taro Pharmaceuticals U.S.A., Inc., Hawthorne, NY 10532  UPC 351672125837  NDC 51672-1258-3",D-0249-2018
Class III,Labeling: Incorrect or Missing Lot and/or Exp Date; lot number on the secondary packaging doesnt match the lot number printed on the bottle,"Doan's Pain Relieving Cream with 4% Lidocaine Plus Menthol, (lidocaine 4%, menthol 1%), Net Wt. 2.75 oz. (77.3 g) Tube, Distributed by: Ducere Pharma, LLC New Hope, PA 18938 USA --- UPC 849648000023",D-0072-2018
Class III,Subpotent,"Dye Free Allergy Softgel Gelatin Capsule, 15,000-count bulk drums, aenova/Swiss Caps USA, Inc., 14193 S.W. 119th Avenue, Miami, FL  33186, Product Code MSU0067P, NDC 6897080284",D-0675-2017
Class III,Labeling: Label Mix-up: Some bottles of Ferrum Phosphoricum 200C were incorrectly labeled as Ferrum Metallicum 200C.,"Complete 30C/200C Homeopathic Kit, Contains: One hundred 1/2 dram vials of homeopathic medicines, Washington Homeopathic Products, Inc., Berkley Springs, WV 25411, UPC 7 40640 64300 6.",D-0618-2024
Class III,Cross Contamination with Other Products: trace amounts of octreotide found during testing,"DOXOrubicin Hydrochloride Injection, USP, 10 mg / 5 mL (2 mg / mL), 5 mL fill in a 6 mL vial, Single Dose Vial, Rx only, Sterile, Fresenius Kabi, Lake Zurich, IL 60047.  NDC: 63323-883-05",D-0105-2021
Class III,Cross contamination with other products,"Micafungin for injection, USP, 100 mg/vial, Single-Dose Vial, Rx Only, Manufactured by: Zydus Lifesciences Ltd., Vadodara, India, Distributed by: Zydus Pharmaceuticals (USA) Inc., Pennington, NJ 08534, NDC 70710-1725-01 (vial), NDC 70710-1725-06 (outer box).",D-0595-2024
Class III,Subpotent,"Ketoconazole Shampoo, 2%, Manufactured by TOLMAR Inc., Fort Collins, CO for Sandoz Inc., Princeton, NJ --- NDC 0781-7090-04.",D-66402-001
Class III,Cross Contamination with Other Products,"Nitrofurantoin Capsules, USP (Monohydrate/Macrocrystals) 100 mg, packaged in a) 100-capsule bottles (NDC 0185-0122-01); and b) 1000-capsule bottles, (NDC 0185-0122-10); Rx Only, Distributed by Sandoz Inc. Princeton, NJ 08540",D-0257-2019
Class III,Labeling: Incorrect or Missing Lot and/or Exp Date. The lot number and/or expiration date may be illegible.,"Nupercainal, Dibucaine, Hemorrhoidal & Topical Analgesic Ointment, a) 1-oz. tubes (NDC 0067-5812-96), b) 2-oz. tubes (NDC 0067-5812-86), OTC. Distributed by Novartis Consumer Health, Inc., Parsippany, NJ 07054.",D-208-2013
Class III,Labeling: Incorrect or Missing Lot and/or Exp Date: This recall is being conducted because the product was given 36 month expiration dates instead of the filed 24 months.,"Mercaptopurine Tablets USP, 50 mg, 25 count bottle, Rx only, Roxanne Laboratories, Inc., Columbus, Ohio, 43216, NDC 0054-4581-11",D-1314-2014
Class III,Crystallization; complaints received by the manufacturer of crystals forming in product,"Urea (50% Urea in a Cream Base), a) Net Wt. 5 oz (142 g), (NDC 42808-0200-05) b) Net Wt. 9 oz (225 g) (NDC 42808-0200-09), Rx Only, Manufactured in the U.S.A. for Exact-Rx Inc., Melville, NY",D-1465-2016
Class III,Failed Impurities/Degradation Specifications:,"Dextroamphetamine Saccharate, Amphetamine Aspartate Monohydrate, Dextroamphetamine Sulfate and Amphetamine Sulfate, Extended-Release Capsules, (Mixed Salts of a Single Entity Amphetamine Product), 20 mg, 100 Capsules, Rx only, Manufactured by: Granules Pharmaceuticals Inc., Chantilly, VA 20151, NDC 70010-032-01",D-0672-2025
Class III,Superpotent Drug: Product may not meet specifications throughout shelf life.,"Aripiprazole Tablets, 2 mg, 30-count bottle, Rx only, Manufactured by: Apotex Inc., Toronto, Ontario, Canada, M9L 1T9; Manufactured for: Apotex Corp., Weston, Florida  33326, NDC 60505-3075-3.",D-0471-2017
Class III,"Defective Container: Stability samples of both products were noted to have some white solid product residue, identified as dried active ingredients along with the preservative, on the exterior of the bottles.","Timolol Maleate Sterile Ophthalmic Solution, USP 0.5%, 10mL, (NDC 16571-141-10).    The products are packaged in Low Density Polyethylene (LDPE) Blow Fill Seal containers equipped with a dropper tip.  The filled bottles are individually packaged into fiberboard cartons.",D-1073-2014
Class III,Labeling: Illegible Label: Sandoz Inc. is recalling of one lot of Fluoxetine Capsules due to an illegible logo on the capsule.,"Fluoxetine Capsules USP, 20 mg, 100 count bottle, Rx Only, 100 Capsules, Sandoz Inc Princeton, NJ 08540 NDC 0781-2822-01",D-0291-2015
Class III,Failed Impurity/Degradation Specification; an impurity identified as N-Butyl-Benzene Sulfonamide (NBBS) was detected during impurity testing,"Errin (norethindrone tablets, USP), 0.35 mg, 6 blister cards per carton, 28 tablets each, 28 day regimen, Rx Only, Teva Pharmaceuticals USA, Sellersville, PA 18960, NDC 0555-0344-58",D-689-2013
Class III,Failed Impurities/Degradation Specifications: out of specification results for a related compound - a degradant of fexofenadine.,"Fexofenadine HCl Tablets, USP, 60 mg, Allergy, Antihistamine, Indoor and Outdoor Allergies, Non-Drowsy, Original Prescription Strength, a) 60 count Bottles, NDC 0378-0781-91, b) 500 count Bottles, NDC 0378-0781-05, Manufactured by: Mylan Pharmaceuticals Inc, Morgantown, WV, 26505, USA.",D-0435-2015
Class III,Failed Dissolution Specifications. High dissolution results were obtained during stability testing.,"Diltiazem CD (Diltiazem Hydrochloride Extended-Release Capsules, USP) 180 mg,  100-count bottles, Rx Only Mfg. By: Actavis 60 Columbia Rd., Bldg. B Morristown, NJ 07960. NDC 63739-284-10",D-0715-2018
Class III,"Defective Container: Stability samples of both products were noted to have some white solid product residue, identified as dried active ingredients along with the preservative, on the exterior of the bottles.","Ofloxacin Ophthalmic Solution, USP 0.3%, 10mL, (NDC 16571-130-11).    The products are packaged in Low Density Polyethylene (LDPE) Blow Fill Seal containers equipped with a dropper tip.  The filled bottles are individually packaged into fiberboard cartons.",D-1069-2014
Class III,Labeling: Missing Label; missing label on blister card,"Prednisone Tablet USP, 20 mg tablets, packaged in blisters of ten (10) tablets per blister card, ten blister cards per carton, Roxanne, Columbus, OH --- NDC 0054-0018-20",D-882-2013
Class III,Cross Contamination with Other Products,"Nitrofurantoin Capsules, USP (Monohydrate/Macrocrystals) 100 mg, 100-count bottoles, Rx Only, Manufactured for: Northstar Rx LLC Memphis, TN 38141 Manufactured by: Sandoz Inc. Princeton, NJ 08540,NDC 16714-439-01",D-0262-2019
Class III,Failed Impurities/Degradation Specifications: Out of specification for impurities.,"Meclizine Hydrochloride Tablets USP, 25 mg Tablets, Packaged in a) 100 Ct Bottles (NDC: 49884-035-01) and b) 1000 Ct Bottles (NDC: 49884-035-10), Rx only. Par Pharmaceutical Companies, Inc., Spring Valley, NY 10977.",D-0234-2016
Class III,"Subpotent Drug; for the active, HCB, and preservatives, Propylparaben and Butylparaben at the 18 month stability test point","Locoid (hydrocortisone butyrate 0.1%), Cream, Net Wt. 15 gm tubes, Rx only, Manufactured for:  Onset Dermatologics, LLC, Cumberland, RI 02864 By:  Ferndale Laboratories, Inc. Ferndale, MI  48220 --- NDC 16781-382-15",D-0026-2015
Class III,Impurities/Degradation Products: Out-of-specification results were obtained for a known  impurities.,"Caziant (desogestrel and ethinyl estradiol) Tablets, USP, (Triphasic Regimen), 0.1 mg/0.025 mg, 0.125 mg/0.025 mg, 0.15 mg/0.025 mg, 28-count tablets per dispenser (NDC 52544-959-28), packaged in 3-count Tablet Dispensers per carton (NDC 52544-959-31), Rx only Manufactured by: Watson Laboratories, Inc., Corona, CA 92880; Distributed by: Watson Pharma, Inc., Corona, CA 92880.",D-094-2013
Class III,"Presence of Precipitate; white substance confirmed as Guaifenesin, an active ingredient was observed in some bottles. If the product is shaken or warmed the white particles goes into the solution.","Rite Aid brand Maximum Strength Tussin Cough & Cold Mucus Relief CF, (dextromethorphan HBr 10 mg, guaifenesin 200 mg and phenylephrine HCl 5 mg), 4 oz. package size, Distributed by: Rite Aid, Camp Hill, PA --- UPC Code: 0 11822 57307 8.",D-419-2013
Class III,Adulterated Presence of Foreign Tablets: Customer complaint that some Endocet 10 mg/325 mg tablets were found mixed in a bottle with Endocet 10 mg/650 mg tablets.,"Endocet (oxycodone and acetaminophen) tablets, USP, 10 mg/650 mg, 100-count tablets per bottle, Rx only, Manufactured for: Endo Pharmaceuticals Inc., Chadds Ford, PA, By: Novartis, Lincoln, NE  68501; NDC 60951-797-70.",D-1381-2012
Class III,Presence of Foreign Tablet: Metformin BP 1000mg was found in bottle of Metformin HCl 1000mg,"Metformin Hydrochloride Tablets, USP 1000 mg, 500-count bottles, Rx Only,   Manufactured for: Aurobindo Pharma USA, Inc. 2400 Route 130 North Dayton, NJ 08810, Manufactured by: Aurobindo Pharma Limited Unit -VII (SEZ)) Mahabubnagar (Dt)_509302 India, NDC 65862-010-05.",D-0427-2018
Class III,Defective Container: The adaptor does not fit into the neck of the bottle after reconstitution with water.,"Mycophenolate Mofetil for Oral Suspension, USP, 200 mg/mL, Rx Only, bottle, Manufactured for: VistaPharm, Inc., Largo, FL 33771, USA, NDC#66689-307-08.",D-0093-2024
Class III,CGMP Deviation: Poor container closure of the bulk storage container,"Carb-O-Philic 40 Cream, 40%, a) 3 oz. tube (NDC 54162-640-03) b) 7 oz. tube (NDC 54162-640-07), Rx Only, Manufactured by Geritrex Corporation, Mount Vernon, NY 10550",D-1238-2015
Class III,Cross contamination with other products: traces of Dapsone were found in the finished product.,"Fluocinonide Gel USP, 0.05%, 15 g tube, Rx Only, Mfd. by: Taro Pharmaceuticals Inc. Brampton Ontario Canada  L6T1C1, Dist. by: Taro Pharmaceuticals U.S.A . Inc. Hawthorne NY 10532, NDC 51672-1279-1",D-0146-2018
Class III,Labeling: Incorrect or Missing Package Insert: Product is packaged with the incorrect version of the package outset,"Vaseretic (enalapril maleate/hydrochlorothiazide) 10/25 mg Tablets, NDC 0187-0146-01, 100 ct. bottles  manufactured at Valeant Pharmaceuticals International, Inc., Steinbach, MD R5G 1Z7 Canada",D-0018-2015
Class III,"Labeling: Label Error on Declared Strength; the label states that the product contains 62% ethyl alcohol, but the ethyl alcohol content is 20%.","I LOVE BACON Justice,  VANILLA scent anti bac, Ethyl Alcohol, Net Wt. 1 fl oz, Distr by Tween Brands New Albany, OH 43054 Toronto, ON L6T 3R5",D-362-2014
Class III,SUBPOTENT DRUG: Products failed assay results at the 12 and 24 month timepoints.,"Skin Medica Acne System, Contains: Purifying Foaming Wash (Salicylic Acid 2.0%), 5 fl oz.; Purifying Toner (Salicylic Acid 2.0%), 6 fl oz,; Acne Treatment Lotion (Benzoyl Peroxide 2.5%), 2 fl oz., Distributed in the U.S.A. by Allergan, Irvine, CA 92612, UPC 300234966005",D-1410-2020
Class III,Labeling: Not Elsewhere Classified: Tablets/Capsules imprinted with wrong ID.,"Diphenhydramine HCl 50 mg, 1000 capsules per bottle, Akron Pharma, Manufactured for: Akron Pharma, Inc. 373 Route US 46, Building E, Suite 117, Fairfield, NJ 07004, NDC 71399-8026-02.",D-0199-2025
Class III,Failed Impurities/Degradation Specifications; Out of specification stability testing results at the 18 month time point,"Argatroban Injection, 250 mg/2.5 mL (100 mg/mL), 2.5 mL Single-use Vial, Rx only, Sterile, Manufactured for: Hospira, Inc, Lake Forest, IL 60045 USA.  NDC:  0409-1140-01",D-1184-2018
Class III,"Sub potent drug: during the 9-month stability test conducted, the assay value for the affected lot was  below specification limit.","Varenicline Tablets, 1mg, 56 Tablets, Rx only, Distributor: Dr. Reddy's Laboratories Inc., Princeton, NJ 08540, Made in India, NDC 43598-908-56",D-0219-2026
Class III,"Defective Delivery System: Commercial implants do not meet the filed specification for the intended use, a few patients have experienced an issue with the implants that renders it non-functioning.","Susvimo (ranibizumab injection), 100mg/mL, sold together as a) carton containing One Susvimo single-dose vial and One Susvimo initial fill needle, NDC 50242-078-55; and b) carton labeled as Susvimo Ocular Implant with Insertion Tool Assembly, containing One carrier with implant and One insertion Tool, UDI 81004259001, GTIN 00810042590014, Rx only, Genentech, Inc., A Member of the Roche Group, South San Francisco, CA  94080-4990.",D-0025-2023
Class III,Failed Impurities/Degradation Specifications:  out of specification test results for related compounds largest unknown impurity.,"Buprenorphine and Naloxone Sublingual Tablets, 2 mg/0.5 mg 30 tablets per bottle, Rx only, Distributed by: Teva Pharmaceuticals USA, Inc., North Wales, PA 19454, NDC 0093-5720-56",D-0983-2017
Class III,Subpotent Drug:Out of specification for percentage of active pharmaceutical ingredients.,"Advanced Protection Sunscreen spf 30 (Octinoxate 7.5%, Octisalate 5%, Oxybenzone 6%), 4.5 Oz/127.5 g tube.",D-0341-2019
Class III,Subpotent Drug: Product contains less Sodium Fluoride than listed on product label.,"CTx21 Kit,  contains three tubes of CariFree CTx4 Gel 5000, 1.1% Neutral Sodium Fluoride Mint, 2 oz (57 g) Rx only NDC: 61578-205-01 Manufactured by Oral BioTech Albany, Oregon 97321 and three bottles of CariFree CTx3 Rinse, Mint Anticavity Rinse, 16 fl oz. bottle.",D-0455-2022
Class III,Labeling: Wrong barcode. An incorrect bar code was noted on the vial label of Hectorol 2 mcg/1mL vial.,"Hectorol (doxercalciferol injection) 2 mcg/1mL, Rx only,  Manufactured by: Genzyme Biosurgery Corporation 500 Kendall Street, Cambridge, MA 02142, NDC 58468-0126-1",D-1029-2016
Class III,An error occurred where the product was manufactured with Potassium Chloride instead of Potassium Phosphate.,"LCL-2-0191, 5 gallon carboys, Rx only, Manufactured for: LaCore Labs, LLC, by: Washington Homeopathic Products, Inc.260 J R Hawvermale Way Berkeley Springs West Virginia 25411",D-0323-2021
Class III,Superpotent (Single Ingredient) Drug: Above specification assay results for percentage of magnesium sulfate.,"Magnesium Sulfate in Water for Injection, 40 mg/mL (0.325 mEq Mg++/mL), 2 g total, 50 mL Flexible Container, Rx only, Hospira, Inc., Lake Forest, IL 60045; NDC 0409-6729-24.",D-1390-2012
Class III,Labeling: Label Error on Declared Strength- bottles missing colored coded panel where strength of the product is displayed.,"Amoxicillin For Oral Suspension, USP - Dye Free, 400 mg/5 mL, 100 mL (when reconstituted), Rx only,  Manufactured by: Hikma Pharmaceuticals, PO Box 182400, Amman 11118 - Jordan, Distributed by: West-Ward Pharmaceutical Corp. Eatontown, NJ 07724, NDC 00143-9887-01,",D-1515-2016
Class III,Failed Impurities/Degradation Specifications: out of specification result for Clonazepam Related Compound (RC) A (a known impurity) at 16 month timepoint.,"Clonazepam Tablets, USP, 1.0 mg, packaged in a 100- count unit dose box of 10 x 10 blister cards, Rx only, Manufactured by Mylan Pharmaceuticals Inc, Morgantown, WV, 26505, NDC 51079-882-20",D-0136-2017
Class III,SUBPOTENT DRUG: Products failed assay results at the 12 and 24 month timepoints.,"Skin Medica Acne Treatment Lotion (Benzoyl Peroxide 2.5%), 2 Oz bottle, Distributed in the U.S.A. by Allergan, Irvine, CA 92612, NDC 0023-4965-02",D-1409-2020
Class III,Cross Contamination,"Gabapentin Capsules, USP 400 mg, Rx Only, Packaged in a) 500-count bottles, NDC 62756-139-05; b) 1000-count bottles, NDC 62756-139-04; Distributed by: Sun Pharmaceutical Industries, Inc. Cranbury, NJ 08512, Manufactured by: Sun Pharmaceutical Industries Ltd. Halol-Baroda Highway, Halol-389 350, Gujarat, India.",D-0312-2025
Class III,Subpotent,"T Shampoo For Hair and Body, Solution Coal Tar 3% (0.6% coal tar), 300 ml/10.1 fl. oz. bottles, Dermatologic Cosmetic Laboratories, East Haven, CT",D-0832-2018
Class III,Failed Impurities/Degradation Specifications: out of specification test results for impurities during stability testing.,"PARICALCITOL Capsules, 4 mcg, 30-count bottles, Rx only, Manufactured By: Pharmaceutics International, Inc., Hunt Vallet, MD  21031; Manufactured For: Teva Pharmaceuticals USA, Inc., North Wales, PA  19454, NDC 0093-7658-56.",D-0111-2017
Class III,Failed Stability Specification; out of specification (OOS) results for a preservative at 9 month stability study.,"Clobetasol Propionate Emollient Cream 0.05%, a) 30 gram (NDC 50383-270-30) and b) 60 gram (NDC 50383-270-60) tubes, Rx only. Manufacturer: Akorn Inc. 369 Bayview Ave., Amityville, NY 117701.",D-0515-2019
Class III,Presence of Foreign Tablets/Capsules; 500 mg capsules were found in bottles labeled to contain 250 mg capsules,"Pentasa (mesalamine) Controlled-Release Capsules, 250 mg, 240 count bottle, Rx only, Manufactured for Shire US Inc., Lexington, MA --- NDC 54092-189-81",D-0432-2017
Class III,Superpotent Drug: Out Of Specification (OOS) result for Assay.,"Ohm Loratadine Orally Disintegrating Tablets, USP, 10 mg, 30-count tablets, Distributed by Ohm Laboratories, Inc. 1385 Livingston Avenue, North Brunswick, NJ 08902, NDC 51660-527-31, UPC 3 5166052731 5",D-0032-2016
Class III,Labeling: Incorrect or Missing Lot and/or Exp Date: incorrect expiration date of 02/0218 is printed on the container label instead of the correct expiration date of 02/2018.,"Methylprednisolone Tablets, USP, 16 mg, 50-count bottles, Rx only, Manufactured by Jubilant Cadista Pharmaceuticals Inc., Salisbury, MD  21801, NDC 59746-003-14.",D-0205-2017
Class III,Superpotent Drug: product may contain concentrations of oxytocin higher than what is represented on the label.,"Oxytocin 20 Units added to NS 1000 mL (oxytocin and 0.9% Sodium Chloride) Injectable Solution, Approximately 1002 mL Sterile single use bag, Rx only,  Avella of Houston, 9265 Kirby Dr., Houston, TX 77054, NDC 42852-703-99.",D-0498-2019
Class III,Labeling: Incorrect or Missing Lot and/or Expiration date; The Lot and/or Expiration date on the tube may not be legible in this lot.,"Novartis Lamisil AT Cream, Terbinafine Hydrochloride Cream 1% Antifungal,  Novartis Consumer Health, Inc., Parsippany, NJ.     (a)12 gm (.42 oz), packaged with UPC code 300673998421 and NDC code: 0067-3998-42;   (b) 12 gm  (.42 oz), packaged with UPC code:  300673998124 and NDC code: 0067-3998-12;  (c) 30 gm  (1 oz), packaged with UPC code:  300673998308 and NDC code: 0067-3998-30;  (d) 30 gm  (1 oz), packaged with UPC code:  300673998339 and NDC code: 0067-3998-33.",D-573-2013
Class III,Superpotent Drug: High out of specification results for assay at the 6 month time point interval.,"col-rite (docusate sodium) stool softener softgels, 50 mg, packaged in a) 30-count, item 351104, UPC 0 11822 51104 9; and b) 60-count, item 357392, UPC 0 11822 57392 4; DISTRIBUTED BY: RITE AID, 30 HUNTER LANE, CAMP HILL , PA 17011.",D-0856-2016
Class III,Failed Impurities/Degradation Specifications:Out of specification result for a known impurity obtained during testing.,"Dicloxacillin Sodium Capsules USP, 500mg, Rx Only, 100 Capsule bottle, Manufactured in Austria by Sandoz Gmbh, Distributed by Sandoz  Inc. , Princeton, NJ 08540, Product of Spain, NDC 0781-2258-01",D-1046-2016
Class III,Subpotent Drug: One lot of product does not meet the product specification for Assay test at 3 month  long term stability condition.,"Amlodipine Besylate USP 10 mg Tablets, 1000-count bottles, Rx Only, Manufactured by: Cipla Ltd., Verna Goa, India, Manufactured for: Cipla USA, Inc. 1560 Sawgrass Corporate Parkway, Suite 130, Sunrise FL 33323  UPC 369097128159, NDC 69097-128-15",D-0012-2019
Class III,"Cross contamination with other products: Product is being recalled due to the potential presence of unrelated ingredients (Benazepril, Haloperidol and Perphenazine).","Nitrofurantoin Monohydrate/Macrocrystals capsules,100 mg, packaged in HDPE 60 cc bottles, Rx only, MFG: Sandoz Inc., Princeton, NJ, Repackaged by: RemedyRepack, Indiana, PA, Original NDC 00185-0122-01Repackaged NDC 70518-1087-00, 14 capsules in HDPE 60 cc bottles in cardboard trays & HDPE 60 cc bottles in plastic bags, Repackaged NDC 70518-1087-01, 10 capsules in HDPE 60 cc bottles in cardboard trays.",D-0284-2019
Class III,Failed Moisture Limits: out of specification test results for water content obtained during stability testing.,"Glipizide Extended-Release Tablets (anti-diabetic agent), 5 mg, packaged in 30-unit dose blister pack per carton, Rx only, Mfd for: Watson Laboratories, Inc., Corona, CA 92880, Mfd by: Patheon Pharmaceuticals, Inc., Cincinnati, OH 43215, NDC 0591-0844-15",D-1058-2017
Class III,Chemical contamination: Firm's inspection discovered the  presence of 2-phenylphenol in the product due to migration from the cardboard cartons in which the product is packaged.,"Femhrt (norethindrone acetate and ethinyl estradiol) tablets, 1.0 mg/5.0 mcg, 90 count bottle ( NDC#: 0430-0544-23), Rx only, Manufactured by Warner Chilcott Company, LLC, Fajardo, PR 00738, Marketed by Warner Cholcott (US), LLC, Rockaway, NJ 07866",D-305-2013
Class III,Failed Stability Specifications: product did not meet viscosity results.,"Lidocaine Ointment USP, 5%, NET WT 35.44 g (1 1/4 Oz) tube, Rx Only, Teligent Pharma Inc., Buena, New Jersey, 08310, NDC 52565-008-14.",D-0331-2021
Class III,Failed dissolution specifications,"Antihistamine & Nasal Decongestant, Fexofenadine HCl 60 mg and Pseudoephedrine HCl 120 mg, Extended Release Tablets USP, Allergy & Congestion, 12 Hour, 30 Tablets, Distributed by: Rugby Laboratories, 17177 N. Laurel Park Drive, Suite 233, Livonia, MI 48152, www.rugbylaboratories.com. NDC 0638-1242-07.",D-0271-2022
Class III,Superpotent Drug: Out of specification for assay at the 12-month timepoint.,"Esomeprazole Magnesium Delayed-Release Capsules, USP, 40mg, Rx Only, 90 Capsules per bottle, Manufactured by: Ohm Laboratories Inc. New Brunswick, NJ 08901, Distributed by: Sun Pharmaceutical Industries, Inc. Cranbury, NJ 08512, NDC 63304-735-90.",D-0005-2023
Class III,Labeling: Incorrect or Missing Lot and/or Exp Date,"Ropivacaine HCl 0.2% 500 mL Total Volume in an ON-Q Pump in 0.9% Sodium Chloride Injection in 400 mL, Rx Only, Compounded by PharMEDium Services, LLC, Sugar Land, TX 77478, NDC: 61553-258-03",D-0931-2017
Class III,Presence of Foreign Tablet/Capsule,"Olmesartan Medoxomil Tablets, USP, 20 mg, Rx Only, 30 Tablets, Manufactured by Alkem Laboratories Ltd, Mumbai, 400 013. INDIA, Distributed by: Ascend Laboratories LLC, Parsippany, NJ, 07054, NDC 67877-446-30.",D-0392-2021
Class III,Superpotent and Failed Stability Specifications; out of specification results for assay and water vapor permeability,"Flucanazole Injection, USP 200 mg in in 100 mL (2 mg/mL), 10 Single Dose Flexible Containers, Rx Only, Manufactured for: Claris Lifesciences, Inc. North Brunswick, NJ 08902 By; Claris Injectables Ltd. Gujarat, India --- NDC 36000-006-10",D-0605-2018
Class III,Failed PH specification:  The lots of Carboplatin Injection were manufactured from Carboplatin API lots which trended out of specification low pH.,"Carboplatin Injection, 10 mg/mL, a) 5 mL multi-dose vials (NDC 61703-339-18) (NDC 61703-360-18, NOVAPLUS),  b) 45 mL multi-dose vials (NDC 61703-339-50) (NDC 61703-360-50 NOVAPLUS), Rx only, Hospira, Inc., Lake Forest, IL 60045, Product of Australia",D-1648-2012
Class III,"Incorrect Expiration Date: The ""11/06"" expiration date printed on the tray (secondary packaging) is incorrect (it should be 11/2016)","Hydralazine Hydrochloride Injection, USP, 20 mg/mL, 1 mL fill, in a 2 mL; single dose vial. Manufactured by Fresenius Kabi USA 2020 N Ruby Street, Melrose Park, IL 60160-1112 for Fresenius Kabi USA, 3 Corporate Dr Lake Zurich, IL 60047-8930. NDC 63323-614-01",D-1327-2015
Class III,Discoloration: This product is being recalled due to a confirmed pharmacist report that tablets from this lot were a pink color instead of cream (peach).,"Amlodipine and Olmesartan Medoxomil Tablets, 5 mg/40 mg, Rx only, 30-count bottle, Distributed by: Aurobindo Pharma USA, Inc. 279 Princeton-Hightstown Road East Windsor, NJ 0852 Made in India, NDC 65862-855-30",D-0289-2019
Class III,Short Fill,"Potassium Acetate Injection, USP 40 mEq/20 mL (2 mEq/mL) Single Dose Vials, Rx only,  Manufactured By: Exela Pharma Sciences, LLC. Lenoir, NC  NDC 51754-2001-4",D-1585-2020
Class III,Labeling: Incorrect or Missing Package Insert:  An outdated version of a patient outsert was used when packaged.,"Loxapine Capsules USP, 5mg, 100 count bottle, Rx only Manufactured By: Watson Laboratories Inc., Corona, CA 92880  NDC #  00591-0369-01.",D-1399-2012
Class III,Out of Specification result observed in content uniformity testing,"Dofetilide Capsules 500 mcg (0.5mg), 60-count bottle, Rx Only, Manufactured by Sun Pharmaceutical Industries Limited, Survey No. 259/15, Dadra-396 191, (U.T of D & NH), India,  Distributed by: Sun Pharmaceutical Industries, Inc. Cranbury, NJ 08512. NDC 47335-063-86",D-1082-2023
Class III,Superpotent and Subpotent drugs,"Testosterone Cholesterol ,100 mg Pellet,  Compounded by: Wells Pharmacy Network",D-0127-2017
Class III,Failed Dissolution Specifications,"Quillivant XR methylphenidate HCl, for extended-release oral suspension, 750mg/150 mL total volume (When constituted with 131 mL of water, 25 mg/5 mL (5 mg/mL) when reconstituted,   Rx Only, Distributed by Nextwave Pharmaceuticals, Inc. A subsidiary of Pfizer Inc., New York, NY 10017, Manufactured by Tris Pharma, Inc., Monmouth Junction, NJ 08852, NDC 24478-200-25.",D-1164-2017
Class III,Subpotent Drug: The product has failed to maintain its label claim of coal tar throughout its labeled 24-month expiry period.,"Psoriasin Daytime Relief Cream with Vitamin D & Oatmeal, (Coal Tar 1.25%), packagedin 57 g plastic tubes, Distributed by: ALVA-AMCO Pharmacal Cos., Inc., Niles, IL 60714, USA.   NDC 52389-745-56, UPC 0 72959 01045 4.",D-0589-2018
Class III,Labeling: Incorrect or Missing Package Insert: Package insert is missing updates compared with reference drug insert.,"Cyclopentolate Hydrochloride Ophthalmic Solution USP, 1%, Packaged in a) 2 mL Bottles (NDC: 24208-735-01) and b) 15 mL Bottles (NDC: 24208-735-05), Rx Only. Bausch and Lomb Incorporated, Tampa, FL, 33637.",D-0645-2016
Class III,Labeling: Incorrect or Missing Lot and/or Exp Date: Cartons with the correct lot number 200906 contain vials labeled with the incorrect lot number 200901.,"Thiamine HCl Injection, USP 200 mg/2 mL (100mg/mL), 2 mL vials, packaged in 25 (2 mL multi-dose vial) per carton, Rx only, Manufactured for: Mylan Institutional LLC, Rockford, IL 61103 USA; Manufactured by: Mylan Institutional, Galway, Ireland. NDC: 67457-196-02",D-0601-2021
Class III,Failed Impurity/degradation Specification,"Carisoprodol Tablets, USP, 350 mg, unit dose blister packages of 100 tablets (10 cards of 10 tablets each), Rx only, Manufactured for: Qualitest Pharmaceuticals, Huntsville, AL NDC 51079-819-20",D-1155-2014
